new_id,Годовая выручка
350,1362283772.9554825
351,701198194.6016234
352,759819021.0655036
353,807636524.7316889
354,745500043.8936186
355,490326091.9409708
356,715474516.6536987
357,477449557.547262
358,357544312.1222519
359,410025618.25426626
360,1477783557.6427014
361,1078418498.906767
362,570835836.4904958
363,950327273.7870789
364,581175073.2476077
365,689031256.5020503
366,312665632.63396627
367,672120815.4787401
368,1000100172.1409427
369,576493925.0598477
370,677499845.0889231
371,435691322.000432
372,756443744.9791118
373,965413229.7171782
374,423509592.0271847
375,368781950.21959186
376,1145198564.612958
377,437194572.3778877
378,584680824.9970555
379,380051919.78756255
380,732082965.4064708
381,809690125.3975539
382,438631180.35699075
383,1275910079.9364798
384,453187434.46706873
385,608740057.158109
386,1629785509.203555
387,507924599.416574
388,835850705.8126242
389,449852310.077222
390,404925381.8651908
391,770409935.6057936
392,624603559.7996917
393,501070538.4908828
394,702424441.8295105
395,631306668.637852
396,309610162.6234259
397,684685038.3731539
398,437672303.125171
399,347418311.677045
400,819667541.152169
401,656576725.5558342
402,446304142.49087363
403,419274647.61783487
404,323133256.1265177
405,1175840630.3561084
406,618763967.9168826
407,888085850.91648
408,679397481.7629274
410,407876683.2331592
411,585269208.0189911
412,637957504.8708053
413,383544643.25374126
414,612578244.3929809
415,493339363.8025581
416,999257844.0391347
418,380478506.9833709
419,606052440.2630306
420,656938296.6747575
421,674774533.9330332
422,466007054.8909473
423,641086386.2268437
424,651469539.2080048
425,1009604889.5114254
426,350158180.40603745
427,2097003508.5155206
428,520252660.840766
429,537045942.144858
430,1013706526.5784009
431,418256413.4851558
432,560369389.1847308
433,705259640.0486501
434,576417696.3196715
435,1218538896.3983898
436,722044456.9929435
437,437599916.53918296
438,462075171.85482323
439,767545461.4793146
440,603494236.043558
441,689390552.4343506
442,529788971.52964276
443,1446177713.5895793
444,516617625.4406592
445,867602174.3809022
446,727228849.860277
447,465769382.6856245
448,1093702728.6734552
449,427672499.66081077
450,774706229.0375968
451,489227645.3071524
452,770097491.7988449
453,506070114.9485667
454,1713795416.6989126
455,380648487.98745227
456,613257389.4338989
457,506322348.9169826
458,345833727.67884517
459,1426959087.105579
460,594707200.487247
461,916353097.5776151
462,707278096.5048944
463,897218876.1839921
464,645326461.5524085
465,841864371.9004087
466,317992930.46529454
467,1664293770.4288218
468,871722994.4655774
469,921326639.0093476
470,1283358037.9084585
471,1278050161.5721333
472,328109983.9968678
473,558745176.5968819
474,949218217.1642089
475,521023819.4974239
476,1001527470.7780467
477,697951575.4723322
478,783156601.3538101
479,512235463.4776083
480,467342407.8122635
481,761463190.451382
482,518168669.8197638
483,800544818.1512692
484,2041277602.047713
485,470135919.1067994
486,394517831.3187797
487,557086479.2416782
488,329831541.5725945
489,542586977.5138868
490,463910766.6483664
491,434158670.557662
492,987558405.7540838
493,824227104.0983891
494,547762815.3376952
495,613113710.7763803
496,1183687779.6972656
497,456232996.1224208
498,996057757.5944332
499,1112769962.767862
500,742071112.5103488
501,583273545.6917644
502,533900051.41404235
503,743210455.4914868
504,711308578.6990876
506,460340859.36981255
507,453433330.7578706
508,668516031.7624109
509,595560990.1924857
510,843332481.5224156
511,1002165380.3588427
512,479016268.247349
513,640526005.610371
514,317316641.53039634
516,581074346.8470072
517,537458718.5360883
518,819002121.336275
519,370085631.369669
520,887802269.4030528
521,375040214.98341846
522,1407846421.9265807
523,551518299.640398
524,570582659.9751976
525,474361221.87648433
526,519593845.7157492
527,985649013.6890718
528,1544264956.2867184
529,583436502.3534632
530,873573604.6998208
531,793671358.9723603
532,474335545.73751277
533,707542534.5942657
534,874929397.1029224
535,704207269.9243824
536,443684377.7049339
537,282039410.0089741
538,601099182.7058431
539,530482608.00164276
540,442789568.32558894
541,1131009941.0106137
542,669045229.7938249
543,460630894.3572614
544,709435832.2566391
545,1040026823.264902
546,1276100422.7714036
547,1743984963.0030413
548,1211065003.730644
549,333969102.97181934
550,753020491.9450808
551,417054763.5833026
552,467636528.3614096
553,1090767135.5501313
554,475456365.161661
555,407206721.93218523
556,605168708.9505926
557,413483360.2178627
558,516021344.59142655
559,1004425680.1320461
560,386029347.7042447
561,1872045723.6496544
562,1249674941.0266933
563,572562767.3884908
564,399946391.894255
565,372627548.5002945
566,1241680213.7725184
567,477604343.1837429
568,406087552.6090562
569,542073097.5937195
570,605045949.9947486
572,657741180.7738173
573,473827962.24600726
574,309844582.31492674
575,429764759.06177485
576,929766860.1892344
577,716360174.2695398
578,799378173.6208074
579,443159789.6887173
580,864319381.0266517
581,447557727.46907485
583,667683884.2706789
584,854348124.8308207
585,917597353.176617
586,661553726.8236283
587,831953061.4685197
588,619599412.8802384
589,474676360.2236426
590,502840863.2598756
591,501247201.4707331
592,777051114.6682494
593,645974113.2856555
594,857193525.7821157
595,498200573.3563459
596,628090284.249286
597,856925727.6990561
598,995627149.033323
599,378372765.6589296
600,692476771.975517
601,432576506.0509191
602,634424878.2954857
603,403738095.2516304
604,828820727.5602285
605,415039912.2992904
606,820316802.0028437
607,514417283.73929477
608,801132445.0502455
609,924164167.8140426
610,454678544.70527875
611,540248665.6878765
612,992717866.5385722
613,576351824.9679877
614,385643586.43801385
